"";"gender";"age";"procJustice";"trust";"cynicism";"CPB";"insecure";"norms"
"218";"male";-0,264918965848198;0,4803;0,5369;-0,5656;-0,327133333333333;0,119551732637787;-0,0319356442021764
"219";"female";-0,306277120412196;0,0703;0,1369;-0,1656;-0,3938;1,75757742395314;0,424474302614846
"220";"female";0,390280993127637;0,2403;0,3369;-0,1656;1,0062;1,75757742395314;1,30763212091602
"221";"female";-0,62548110349698;-0,1797;-0,2631;0,0344000000000002;1,0062;0,860356181883819;0,541040163726026
"222";"female";-0,0697894464554064;-0,0397;-0,2631;0,4344;-0,0604666666666667;-0,508912876298184;0,772952896551147
"223";"female";-0,824497707365504;0,4703;0,3369;0,0344000000000002;-1,06046666666667;1,03684291238297;0,811858974813092
"224";"female";-0,563443871650984;0,2703;0,5369;-0,5656;-0,0604666666666667;1,75757742395314;0,542614691697463
"225";"female";0,527260365150165;-0,3197;-0,4631;0,4344;0,339533333333333;-0,642859207843942;0,111041653849228
"226";"female";1,00800988201521;0,6103;0,5369;-0,3656;-0,327133333333333;0,0204609772285503;0,217296896308744
"227";"female";-0,206768818477934;0,1503;0,5369;-0,1656;-0,0604666666666667;0,425373624023876;0,634749973638936
"228";"female";0,365714831369907;0,7203;0,7369;1,0344;-0,127133333333334;-1,1716498631611;1,17384803456881
"229";"female";-1,42154751897107;0,2103;0,5369;0,0344000000000002;-0,327133333333333;1,31051934009249;0,715761977330585
"230";"male";-0,662952173585246;0,6503;0,7369;-0,5656;-0,3938;0,287818916553748;-0,175573228177087
"231";"male";-0,463935569716722;-0,0597;0,5369;-0,5656;-0,927133333333334;1,75757742395314;-1,32467389997637
"232";"female";-1,45901858905934;0,4903;0,5369;-0,5656;-0,260466666666667;0,162524937348172;0,111701939772733
"233";"female";-0,090468523737405;-0,1597;-0,0630999999999999;0,6344;0,00619999999999976;-0,80693247539361;0,657910772186518
"234";"female";0,867143425516948;0,2103;0,7369;0,0344000000000002;0,00619999999999976;-1,75878937979971;0,672081523929445
"235";"male";-0,302390035936464;-0,0697;-0,0630999999999999;-1,1656;-0,660466666666667;-1,52248027372877;-1,45187402142418
"236";"male";-0,10337343206794;0,3803;0,1369;-1,1656;-0,9938;-0,511399810480959;-1,45187402142418
"237";"female";-1,32203921703681;0,0203;0,1369;0,0344000000000002;0,672866666666667;0,802860012356515;0,584720617127165
"238";"female";-0,306277120412196;0,7103;0,3369;-0,1656;-0,127133333333334;0,444944118849712;0,592694839434118
"239";"female";1,38147692799452;-0,1997;-0,4631;0,8344;0,2062;-0,534150582890722;0,0174842176109732
"240";"male";1,182460324126;-0,1597;-0,4631;0,8344;0,6062;-1,75878937979971;-1,2539217237115
"241";"male";-0,687518335342976;-0,6097;0,1369;0,6344;0,339533333333333;-0,028544504903779;-0,147638054490311
"242";"male";-0,861968777453769;0,2503;0,936900000000001;-0,5656;-0,460466666666667;-0,691439843642472;-0,319210812151997
"243";"male";-0,608689110690713;-0,2697;-0,2631;0,8344;0,539533333333333;-0,412859175238071;-1,04202073349108
"244";"male";-2,09353947075318;0,2203;0,5369;-1,1656;-0,860466666666667;-0,558749638457018;-1,45187402142418
"245";"female";-0,447143576910455;-0,5397;-0,6631;0,2344;0,2062;1,75757742395314;0,488775993319314
"246";"male";1,09974401499801;-0,2397;-0,8631;1,6344;1,47286666666667;-1,02422042567686;-1,45187402142418
"247";"female";0,328243761281641;0,5803;0,5369;0,4344;-0,5938;0,0761944282093873;1,65550122015371
